ncbi_species,species
Benthicola azotiphoros,Benthicola azotiphorus
Liminaster caballi,Liminaster caballi
Acinetobacter baylyi,Acinetobacter baylyi
Aeromonas allosaccharophila,Aeromonas allosaccharophila
Ferruginivarius sediminum,Ferruginivarius sediminum
Providencia rustigianii,Providencia rustigianii
uncultured Anaplasmataceae,CAIPFW01 sp903864455
Staphylococcus arlettae,Staphylococcus arlettae
Rhizobium ruizarguesonis,Rhizobium ruizarguesonis
Legionella tucsonensis,Legionella tucsonensis
Virgibacillus profundi,Virgibacillus profundi
Thermodesulfovibrio thiophilus,Thermodesulfovibrio thiophilus
Thermus scotoductus,Thermus scotoductus
Pseudoalteromonas spongiae,Pseudoalteromonas spongiae
Komagataeibacter sucrofermentans,Komagataeibacter sucrofermentans
Cellulomonas xiejunii,Cellulomonas xiejunii
Flagellimonas aquimarina,Flagellimonas aquimarina
Actinomyces polynesiensis,Pauljensenia polynesiensis
Enterobacter quasihormaechei,Enterobacter quasihormaechei
Winogradskyella helgolandensis,Winogradskyella helgolandensis
Marinobacterium aestuarii,Marinobacterium_A aestuarii
Streptomyces guryensis,Streptomyces guryensis
Mobiluncus mulieris,Mobiluncus mulieris
Legionella parisiensis,Legionella parisiensis
Lactobacillus kefiranofaciens,Lactobacillus kefiranofaciens
Nocardioides albidus,Nocardioides albidus
Bulleidia extructa,Bulleidia extructa
Corynebacterium dentalis,Corynebacterium dentalis
Eggerthia catenaformis,Eggerthia catenaformis
Legionella cherrii,Legionella cherrii
Oceaniferula sp.,Oceaniferula sp041548785
Streptomyces cinnabarinus,Streptomyces cinnabarinus
Hyunsoonleella flava,Jejuia flava
Streptococcus iniae,Streptococcus iniae
Thermoflavifilum aggregans,Thermoflavifilum aggregans
Aeromicrobium alkaliterrae,Aeromicrobium alkaliterrae
Parafrankia colletiae,Parafrankia colletiae
Chlorohelix allophototropha,Chlorohelix allophototropha
Nissabacter sp.,Chimaeribacter sp005491205
Stenotrophomonas sepilia,Stenotrophomonas sepilia
Proteiniclasticum aestuarii,Proteiniclasticum aestuarii
Mucilaginibacter straminoryzae,Mucilaginibacter straminoryzae
Pseudomonas aphyarum,Pseudomonas_E aphyarum
Aliiroseovarius pelagivivens,Aliiroseovarius pelagivivens
Staphylococcus agnetis,Staphylococcus agnetis
Christiangramia crocea,Christiangramia crocea
Patulibacter americanus,Patulibacter americanus
Xylanibacter rodentium,Prevotella rodentium
Campylobacter curvus,Campylobacter_A curvus
Phytoplasma stylosanthis,Phytoplasma stylosanthis
Mediterraneibacter avicola,Mediterraneibacter avicola
Dialister massiliensis,Dialister hominis
Syntrophotalea carbinolica,Syntrophotalea carbinolica
Micromonospora globispora,Micromonospora globispora
Sulfitobacter geojensis,Sulfitobacter geojensis
Brachyspira hyodysenteriae,Brachyspira hyodysenteriae
Microbacterium immunditiarum,Microbacterium immunditiarum
Plesiomonas shigelloides,Plesiomonas shigelloides
Ureaplasma parvum,Ureaplasma parvum
Naasia aerilata,Naasia aerilata
Pseudomonas salomonii,Pseudomonas_E salomonii
Kribbella capetownensis,Kribbella capetownensis
Lactobacillus paragasseri,Lactobacillus paragasseri
Lactococcus petauri,Lactococcus petauri
Pumilibacteraceae bacterium,Neoclostridium sp934229275
Aquimarina spinulae,Aquimarina spinulae
Leuconostoc carnosum,Leuconostoc carnosum
Limosilactobacillus ingluviei,Limosilactobacillus ingluviei
Fructilactobacillus fructivorans,Fructilactobacillus fructivorans
Rhodovulum steppense,Rhodovulum steppense
Intestinimonas stercoravium,Intestinimonas stercoravium
Stenotrophomonas pavanii,Stenotrophomonas pavanii
Onthomorpha sp.,Onthomorpha sp004551865
Tuwongella immobilis,Tuwongella immobilis
Halarcobacter anaerophilus,Halarcobacter anaerophilus
Buttiauxella noackiae,Buttiauxella noackiae
Marinobacterium stanieri,Marinobacterium stanieri
Yersinia rohdei,Yersinia rohdei
Alistipes inops,Tidjanibacter inops
Blastococcus brunescens,Blastococcus brunescens
Streptococcus canis,Streptococcus canis
Hallella sp.,Prevotella faecis
Thiolapillus sp.,Thiolapillus brandeum_A
Saccharopolyspora gregorii,Saccharopolyspora_C gregorii
Leptotrichia shahii,Leptotrichia shahii
Shewanella vesiculosa,Shewanella vesiculosa
Aliarcobacter vitoriensis,Aliarcobacter vitoriensis
Dethiosulfatibacter aminovorans,Dethiosulfatibacter aminovorans
Staphylococcus hominis,Staphylococcus hominis
Saccharothrix luteola,Actinosynnema luteola
Actinobacillus seminis,Actinobacillus_B seminis
Segatella buccae,Prevotella buccae
Acinetobacter gerneri,Acinetobacter gerneri
Porcincola intestinalis,Porcincola intestinalis
Proteus penneri,Proteus penneri
