ncbi_species,species
Mesomycoplasma hyorhinis,Mesomycoplasma hyorhinis
Desulfonispora thiosulfatigenes,Desulfonispora thiosulfatigenes
Sinirhodobacter populi,Paenirhodobacter populi
Yersinia ruckeri,Yersinia ruckeri
Tumidithrix elongata,Tumidithrix elongata
Acinetobacter tjernbergiae,Acinetobacter tjernbergiae
Fluoribacter gormanii,Legionella gormanii
Oceanibaculum pacificum,Oceanibaculum pacificum
Winkia sp.,Winkia anitrata
Vibrio europaeus,Vibrio europaeus
Micromonospora endophytica,Micromonospora endophytica
Paracoccus hibiscisoli,Paracoccus hibiscisoli
uncultured Caldilineales,JAAEKA01 sp937907455
Merdisoma merdipullorum,Laedolimicola merdipullorum
Prevotella histicola,Prevotella histicola
Pediococcus damnosus,Pediococcus damnosus
Blautia stercoris,Blautia stercoris
Corynebacterium sanguinis,Corynebacterium sanguinis
Pluralibacter gergoviae,Pluralibacter gergoviae
Butyricicoccus porcorum,Butyricicoccus_A porcorum
Rathayibacter rathayi,Rathayibacter rathayi
Nocardioides flavescens,Nocardioides flavescens
Niallia alba,Niallia alba
Herbinix hemicellulosilytica,Mobilitalea hemicellulosilytica
Microbacterium festucae,Microbacterium festucae
Companilactobacillus halodurans,Companilactobacillus halodurans
Anaerotruncus rubiinfantis,Anaerotruncus rubiinfantis
Zhengella mangrovi,Zhengella mangrovi
Streptomyces coffeae,Streptomyces coffeae
Hyphomonas adhaerens,Hyphomonas adhaerens
Aequorivita iocasae,Aequorivita iocasae
Clostridium intestinale,Clostridium_T intestinale
Micromonospora rifamycinica,Micromonospora rifamycinica
Companilactobacillus nantensis,Companilactobacillus nantensis
Oligoflexus tunisiensis,Oligoflexus tunisiensis
Chromobacterium violaceum,Chromobacterium violaceum
Acidocella facilis,Acidocella facilis
Xenorhabdus vietnamensis,Xenorhabdus vietnamensis
Pectobacterium betavasculorum,Pectobacterium betavasculorum
Eubacterium faecigallinarum,Eubacterium_R faecigallinarum
Sphingobacteruim zhuxiongii,Sphingobacterium zhuxiongii
Listeria cornellensis,Listeria_A cornellensis
Clostridium omnivorum,Clostridium_AX omnivorum
Microbacterium halimionae,Microbacterium halimionae
Polymorphospora sp.,Polymorphospora sp040683055
Umezakia ovalisporum,Umezakia ovalisporum
Ornithoclostridium excrementipullorum,Ornithoclostridium excrementipullorum
Phocaeicola gallistercoris,Phocaeicola gallistercoris
Mesorhizobium kowhaii,Mesorhizobium kowhaii
Mycobacterium methanotrophicum,Mycobacterium methanotrophicum
Blattabacterium punctulatus,Blattabacterium punctulatus
Methylopila turkensis,Methylopila turkensis
Adlercreutzia murintestinalis,Adlercreutzia_A murintestinalis
Thomasclavelia cocleata,Thomasclavelia cocleata
Sulfomarinibacter kjeldsenii,Sulfomarinibacter kjeldsenii
Lysobacter auxotrophicus,Lysobacter_J auxotrophicus
Actinobacillus rossii,Exercitatus rossii
Haematospirillum jordaniae,Haematospirillum jordaniae
Sphingobium herbicidovorans,Sphingobium herbicidovorans
Hallella colorans,Prevotella colorans
Leeuwenhoekiella blandensis,Leeuwenhoekiella blandensis
bacterium MS4,Caproiciproducens sp000752215
Hoylesella nanceiensis,Prevotella nanceiensis
Bradyrhizobium rifense,Bradyrhizobium rifense
Halopseudomonas salina,Halopseudomonas salina
Paracoccus indicus,Paracoccus indicus
Komagataeibacter saccharivorans,Komagataeibacter saccharivorans
Leptospira mayottensis,Leptospira mayottensis
Fimisoma avicola,Fimisoma avicola
Pedobacter puniceum,Pelobium puniceum
Mesomycoplasma hyopneumoniae,Mesomycoplasma hyopneumoniae
Bartonella doshiae,Bartonella doshiae
Acidipropionibacterium acidipropionici,Acidipropionibacterium acidipropionici
Rubneribacter avistercoris,Rubneribacter avistercoris
Alicyclobacillus tolerans,Alicyclobacillus_K tolerans
Pedobacter westerhofensis,Pedobacter westerhofensis
Flavobacterium branchiophilum,Flavobacterium branchiophilum
Trinickia soli,Trinickia soli
Antarctobacter sp.,Antarctobacter sp034670325
Parvibacter caecicola,Parvibacter caecicola
Mucilaginibacter oryzae,Mucilaginibacter oryzae
Streptomyces avermitilis,Streptomyces avermitilis
Marinococcus halotolerans,Marinococcus halotolerans
Dyella monticola,Dyella_B monticola
Gordonia araii,Gordonia araii
Cerribacteria bacterium,PSRQ01 sp003176165
Brotaphodocola catenula,Brotaphodocola catenula
Streptococcus merionis,Streptococcus merionis
Serratia bockelmannii,Serratia bockelmannii
Rubritepida flocculans,Roseococcus flocculans
Aeromicrobium ponti,Cytobacillus oceanisediminis
Cryptobacteroides excrementigallinarum,Cryptobacteroides excrementigallinarum
Sulfitobacter pontiacus,Sulfitobacter pontiacus
Leuconostoc gelidum,Leuconostoc gelidum
Oxalobacter aliiformigenes,Oxalobacter aliiformigenes
Limimaricola pyoseonensis,Limimaricola pyoseonensis
Knoellia subterranea,Knoellia subterranea
Uabimicrobium sp.,Uabimicrobium sp041508025
Flavobacterium chungbukense,Flavobacterium chungbukense
Sphingobium sufflavum,Sphingobium sufflavum
Leptospira santarosai,Leptospira santarosai
Streptomyces clavifer,Streptomyces clavifer
Solemya velum,GCF-000787395 sp000787395
Robinsoniella peoriensis,Robinsoniella peoriensis
Massilia brevitalea,Telluria brevitalea
Phocaeicola sartorii,Phocaeicola sartorii
Caccocola faecipullorum,Caccocola faecipullorum
Meiothermus ruber,Meiothermus ruber
Hymenobacter coccineus,Hymenobacter coccineus
Parashewanella tropica,Parashewanella tropica
Micromonospora antibiotica,Micromonospora antibiotica
Flavobacterium jejuense,Flavobacterium jejuense
Weissella fangxianensis,Weissella fangxianensis
Kaistella chaponensis,Kaistella chaponensis
uncultured Beduini,Beduini sp900550005
Corynebacterium propinquum,Corynebacterium propinquum
Paenibacillus darwinianus,Paenibacillus_I darwinianus
Amazonocrinis nigriterrae,Amazonocrinis nigriterrae
Yokenella regensburgei,Yokenella regensburgei
Lederbergia panacisoli,Lederbergia_A panacisoli
Adiutricales bacterium,JAZGHI01 sp036480955
Faecousia faecipullorum,Faecousia faecipullorum
Borrelia maritima,Borreliella maritima
Noviherbaspirillum saxi,Noviherbaspirillum saxi
Trabulsiella guamensis,Trabulsiella guamensis
Fructilactobacillus sanfranciscensis,Fructilactobacillus sanfranciscensis
Pricia mediterranea,Pricia mediterranea
Limosilactobacillus fermentum,Limosilactobacillus fermentum
Ruthenibacterium avium,Ruthenibacterium avium
Mycobacterium sherrisii,Mycobacterium sherrisii
Leptospira levettii,Leptospira_A levettii
Alkalibacterium putridalgicola,Alkalibacterium putridalgicola
Commensalibacter communis,Commensalibacter communis
Salinibacter ruber,Salinibacter ruber
Gardnerella swidsinskii,Bifidobacterium swidsinskii
Aeromicrobium phoceense,Aeromicrobium phoceense
Roseibium porphyridii,Roseibium porphyridii
Jeotgalibaca porci,Jeotgalibaca porci
Actinobaculum massiliense,Actinobaculum massiliense
Sphingomonas parva,Allosphingosinicella parva
Serratia entomophila,Serratia entomophila
Shinella fusca,Shinella fusca
Mycobacterium shimoidei,Mycobacterium shimoidei
Cereibacter johrii,Cereibacter_A johrii
Paenibacillus silvae,Paenibacillus silvae
Bradyrhizobium centrolobii,Bradyrhizobium centrolobii
Atopobium minutum,Atopobium minutum
Peptoniphilus vaginalis,Peptoniphilus_A vaginalis
Geomonas limicola,Geomonas limicola
Sphingomonas aquatica,Sphingomonas aquatica
Frederiksenia canicola,Frederiksenia canicola
Actinokineospora auranticolor,Actinokineospora auranticolor
Clostridium formicaceticum,Anaerovirgula formicacetica
Peptoniphilus duerdenii,Peptoniphilus_B duerdenii
Gallimonas caecicola,Gallimonas caecicola
Dorea stercoravium,Claveliimonas stercoravium
Paenarthrobacter ureafaciens,Arthrobacter ureafaciens
Veillonella tobetsuensis,Veillonella tobetsuensis
Isoptericola chiayiensis,Isoptericola chiayiensis
Vibrio rotiferianus,Vibrio rotiferianus
Lactobacillus kitasatonis,Lactobacillus kitasatonis
Consotaella sp.,Consotaella sp036541425
Tumebacillus lacus,Tumebacillus lacus
Neochristensenella gallicola,Neochristensenella gallicola
Corynebacterium freneyi,Corynebacterium freneyi
Flavimaribacter sediminis,Flavimaribacter sediminis
Nodularia spumigena,Nodularia spumigena
Acidobacterium capsulatum,Acidobacterium capsulatum
Pseudomonas hydrolytica,Pseudomonas_E hydrolytica
Salinicoccus sediminis,Salinicoccus sediminis
Porphyromonas levii,Porphyromonas_A levii
Lacinutrix algicola,Lacinutrix algicola
Clostridium cochlearium,Clostridium_G cochlearium
Bathyanammoxibius amoris,Bathyanammoxibius amoris
Aphodosoma intestinipullorum,Aphodosoma intestinipullorum
Burkholderia glumae,Burkholderia glumae
Pseudomonas monsensis,Pseudomonas_E monsensis
Cryptosporangium aurantiacum,Cryptosporangium aurantiacum
Pseudomonas paraversuta,Pseudomonas_E paraversuta
Tissierella simiarum,Tissierella_C simiarum
Arthrobacter ramosus,Arthrobacter ramosus
Fluoribacter dumoffii,Legionella dumoffii
Pasteurella atlantica,Phocoenobacter atlanticus
Bifidobacterium myosotis,Bifidobacterium myosotis
Herbidospora yilanensis,Herbidospora yilanensis
Cedecea sulfonylureivorans,Dryocola clanedunensis
Ferrovum myxofaciens,Ferrovum myxofaciens
uncultured Gluconobacter,Gluconobacter sp937880175
Scatomorpha pullistercoris,Scatomorpha pullistercoris
Acetobacter peroxydans,Acetobacter peroxydans
Protistobacter heckmanni,Protistobacter heckmanni
Flavobacterium algicola,Flavobacterium algicola
Rhodococcus baikonurensis,Rhodococcus_F baikonurensis
Oscillatoria nigro-viridis,Microcoleus sp000317475
Photobacterium kishitanii,Photobacterium kishitanii
Thiorhodococcus minor,Thiorhodococcus minor
Entomoplasma freundtii,Williamsoniiplasma freundtii
Rugamonas rubra,Rugamonas rubra
Bifidobacterium crudilactis,Bombiscardovia crudilactis
Collinsella phocaeensis,Collinsella phocaeensis
Alistipes faecigallinarum,Alistipes faecigallinarum
Anaplasma marginale,Anaplasma marginale
Clostridium cadaveris,Clostridium_X cadaveris
Latilactobacillus fuchuensis,Latilactobacillus fuchuensis
Streptomyces purpurascens,Streptomyces purpurascens
Winogradskyella undariae,Winogradskyella undariae
Methylophilus methylotrophus,Methylophilus methylotrophus
Clostridium tagluense,Clostridium_AD tagluense
Xanthomonas sontii,Xanthomonas_A sontii
Autumnicola edwardsiae,Autumnicola edwardsiae
Stercoripulliclostridium pullicola,Stercoripulliclostridium_A pullicola
Flavobacterium covae,Flavobacterium covae
Acinetobacter thutiue,Acinetobacter thutiue
Micromonospora hortensis,Micromonospora hortensis
Laspinema olomoucense,Laspinema olomoucense
Paraprevotella xylaniphila,Paraprevotella xylaniphila
Viadribacter manganicus,Vitreimonas manganica
Neoehrlichia mikurensis,Neoehrlichia mikurensis
Acinetobacter soli,Acinetobacter soli
Gordonia malaquae,Gordonia malaquae
Staphylococcus gallinarum,Staphylococcus gallinarum
Sphingomonas flavescens,Sphingomicrobium flavescens
Kineococcus xinjiangensis,Kineococcus_A xinjiangensis
Bartonella koehlerae,Bartonella koehlerae
Legionella norrlandica,Legionella norrlandica
marine group,Poriferisocius sp002239105
Levilactobacillus tujiorum,Levilactobacillus tujiorum
Aestuariirhabdus haliotis,Aestuariirhabdus haliotis
Muricoprocola aceti,Muricoprocola aceti
Paenibacillus koleovorans,Paenibacillus_AA koleovorans
Novosphingobium sediminicola,Novosphingobium sediminicola
Faecalitalea cylindroides,Faecalitalea cylindroides
Hoylesella shahii,Prevotella shahii
uncultured Castellaniella,Castellaniella sp937988725
Flavobacterium facile,Flavobacterium facile
Pseudocitrobacter faecalis,Pseudocitrobacter faecalis
Hoylesella pleuritidis,Prevotella pleuritidis
Helicobacter trogontum,Helicobacter_A trogontum
Nocardioides ungokensis,Nocardioides ungokensis
Pseudomonas yangonensis,Pseudomonas_E yangonensis
Sediminihabitans luteus,Sediminihabitans luteus
Agrobacterium rubi,Agrobacterium rubi
Corynebacterium coyleae,Corynebacterium coyleae
Cerasibacillus sp.,Cerasibacillus sp036516575
Achromobacter animicus,Achromobacter animicus
Salinimicrobium catena,Salinimicrobium catena
Melaminivora alkalimesophila,Melaminivora alkalimesophila
Lentzea tibetensis,Lentzea tibetensis
Staphylococcus felis,Staphylococcus felis
Vagococcus lutrae,Vagococcus_A lutrae
Arsenophonus nasoniae,Arsenophonus nasoniae
Borrelia coriaceae,Borrelia coriaceae
Staphylococcus coagulans,Staphylococcus coagulans
Planococcus citreus,Planococcus citreus
Idiomarina zobellii,Idiomarina zobellii
Amycolatopsis minnesotensis,Amycolatopsis minnesotensis
Novosphingobium meiothermophilum,Novosphingobium meiothermophilum
Segatella oulorum,Prevotella oulorum
Lactiplantibacillus mudanjiangensis,Lactiplantibacillus mudanjiangensis
Chryseotalea sp.,ELB16-189 sp025370075
Hymenobacter tibetensis,Hymenobacter tibetensis
Mycoplasma leachii,Mycoplasma leachii
Mycobacterium xenopi,Mycobacterium xenopi
Cohnella pontilimi,Cohnella pontilimi
Oceanisphaera psychrotolerans,Oceanimonas psychrotolerans
Corynebacterium sphenisci,Corynebacterium sphenisci
Aeromonas taiwanensis,Aeromonas taiwanensis
Actinacidiphila alni,Actinacidiphila alni
Streptomyces lavendulocolor,Streptomyces lavendulocolor
Hoministercoradaptatus ammoniilyticus,Oliverpabstia intestinalis
Kocuria carniphila,Kocuria carniphila
Campylobacter hominis,Campylobacter_B hominis
Berryella intestinalis,Berryella intestinalis
Tepidibacter formicigenes,Tepidibacter formicigenes
Deinococcus radiodurans,Deinococcus radiodurans
Rubrobacter indicoceani,Rubrobacter indicoceani
Staphylococcus auricularis,Staphylococcus auricularis
Absconditicoccus praedator,Absconditicoccus praedator
Corallococcus exiguus,Corallococcus exiguus
Mediterraneibacter vanvlietii,Mediterraneibacter vanvlietii
Vibrio nigripulchritudo,Vibrio nigripulchritudo
Spiroplasma turonicum,Spiroplasma_A turonicum
Pseudomonas caricapapayae,Pseudomonas_E caricapapayae
Paracoccus acridae,Paracoccus acridae
Serratia ficaria,Serratia ficaria
Clostridium senegalense,Clostridium_J senegalense
Vibrio owensii,Vibrio owensii
Bifidobacterium minimum,Bifidobacterium minimum
Paenibacillus sacheonensis,Paenibacillus_Z sacheonensis
Gemmiger avicola,Gemmiger avicola
Thauera aminoaromatica,Thauera aminoaromatica
Borreliella bavariensis,Borreliella garinii
Telmatobacter sp.,Occallatibacter sp039994875
Pediococcus inopinatus,Pediococcus inopinatus
Nocardioides campestrisoli,Nocardioides campestrisoli
Microvirga solisilvae,Microvirga solisilvae
Pseudomonas izuensis,Pseudomonas_E izuensis
Marichromatium purpuratum,Marichromatium purpuratum
Vibrio paracholerae,Vibrio cholerae
Clostridium weizhouense,Clostridium weizhouense
Otariodibacter sp.,Otariodibacter sp029256985
Aliiruegeria sabulilitoris,Tropicimonas sabulilitoris
Geothermobacter ehrlichii,Geothermobacter ehrlichii
Alishewanella tabrizica,Alishewanella tabrizica
Pseudomonas otitidis,Metapseudomonas otitidis
Borkfalkia excrementipullorum,Borkfalkia excrementipullorum
Leuconostoc suionicum,Leuconostoc suionicum
Vibrio hibernica,Vibrio hibernica
Microbacterium deminutum,Microbacterium deminutum
Secundilactobacillus yichangensis,Secundilactobacillus yichangensis
Franzmannia pantelleriensis,Franzmannia pantelleriensis
Corynebacterium parakroppenstedtii,Corynebacterium parakroppenstedtii
Photorhabdus australis,Photorhabdus australis
Leptospira congkakensis,Leptospira_A congkakensis
Moraxella bovis,Moraxella bovis
Noviherbaspirillum autotrophicum,Noviherbaspirillum autotrophicum
Xanthomonas floridensis,Xanthomonas floridensis
Pontibacter lucknowensis,Pontibacter lucknowensis
Alistipes cottocaccae,Alistipes cottocaccae
Leuconostoc gasicomitatum,Leuconostoc gasicomitatum
Hirschia maritima,Hirschia maritima
Mycoplasmopsis bovirhinis,Mycoplasmopsis bovirhinis
Fructobacillus tropaeoli,Fructobacillus tropaeoli
Boseongicola aestuarii,Boseongicola aestuarii
Sinomonas mesophila,Sinomonas mesophila
Acetivibrio thermocellus,Hungateiclostridium thermocellum
Alicyclobacillus cellulosilyticus,Alicyclobacillus_J cellulosilyticus
Yersinia alsatica,Yersinia alsatica
Demequina sediminis,Demequina sediminis
Caballeronia grimmiae,Caballeronia grimmiae
Acinetobacter silvestris,Acinetobacter silvestris
Fimadaptatus faecigallinarum,Fimadaptatus faecigallinarum
Parachristensenella avicola,Parachristensenella avicola
Cardiobacterium hominis,Cardiobacterium hominis
Janthinobacterium tructae,Janthinobacterium tructae
Caldicellulosiruptor morganii,Caldicellulosiruptor morganii
Pseudomonas akapageensis,Pseudomonas_E akapageensis
Neolewinella maritima,Neolewinella maritima
Mycolicibacterium elephantis,Mycobacterium elephantis
Prevotella bivia,Prevotella bivia
Alloruminococcus vanvlietii,Alloruminococcus vanvlietii
Lactobacillus timonensis,Limosilactobacillus timonensis
Merdiplasma excrementigallinarum,Merdiplasma excrementigallinarum
Prevotella disiens,Prevotella disiens
Sphingomonas abietis,Sphingomonas_N abietis
Ehrlichia canis,Ehrlichia canis
Amorphoplanes friuliensis,Actinoplanes friuliensis
Roseibacterium elongatum,Roseibacterium elongatum
Deianiraea vastatrix,Deianiraea vastatrix
Ornithinibacter aureus,Fodinibacter aureus
Alteromonas profundi,Alteromonas profundi
Mycolicibacterium canariasense,Mycobacterium canariasense
Companilactobacillus mindensis,Companilactobacillus mindensis
Melghirimyces profundicolus,Melghirimyces profundicolus
Microcystis novacekii,Microcystis novacekii
Alteromonas ponticola,Alteromonas ponticola
Alistipes avicola,Alistipes avicola
Arthrobacter mangrovi,Arthrobacter_F mangrovi
Methylobacterium adhaesivum,Methylobacterium adhaesivum
Pseudoclavibacter endophyticus,Pseudoclavibacter endophyticus
Jingyaoa shaoxingensis,Muricoprocola shaoxingensis
Thermoflexus tengchongensis,Thermoflexus tengchongensis
Luteimicrobium xylanilyticum,Luteimicrobium xylanilyticum
Pseudoalteromonas fuliginea,Pseudoalteromonas fuliginea
Pantoea multigeneris,Pantoea multigeneris
Celeribacter marinus,Celeribacter marinus
Prevotella intermedia,Prevotella intermedia
Chitiniphilus purpureus,Chitiniphilus purpureus
Salinivenus lutea,Salinivenus lutea
Enterovibrio escacola,Enterovibrio escacola
Marinisporobacter balticus,Marinisporobacter balticus
Peptacetobacter hiranonis,Peptacetobacter hiranonis
Marinobacter maritimus,Marinobacter maritimus
Azotobacter chroococcum,Azotobacter chroococcum
Staphylococcus shinii,Staphylococcus shinii
