order,class,phylum,gene,n,n_res,f_res
Syntrophobacterales,Syntrophobacteria,Desulfobacterota,rrs_MG1655_2ndrun,6,0,0
Syntrophomonadales,Syntrophomonadia,Bacillota,rrs_MG1655_2ndrun,5,0,0
Syntrophorhabdales,Syntrophorhabdia,Desulfobacterota_G,rrs_MG1655_2ndrun,1,0,0
Tepidibacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,4,0,0
Tepidiformales,Dehalococcoidia,Chloroflexota,rrs_MG1655_2ndrun,3,0,0
Tepidisphaerales,Phycisphaerae,Planctomycetota,rrs_MG1655_2ndrun,1,0,0
Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,34,0,0
Thalassobaculales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,7,0,0
Thermacetogeniales,DSM-12270,Bacillota,rrs_MG1655_2ndrun,2,0,0
Thermaerobacterales,Thermaerobacteria,Bacillota,rrs_MG1655_2ndrun,2,0,0
Thermicanales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Thermincolales,Thermincolia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Thermoactinomycetales,Bacilli,Bacillota,rrs_MG1655_2ndrun,32,0,0
Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,rrs_MG1655_2ndrun,16,0,0
Thermoanaerobaculales,Thermoanaerobaculia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Thermobaculales,Chloroflexia,Chloroflexota,rrs_MG1655_2ndrun,1,0,0
Thermodesulfobacteriales,Thermodesulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,11,0,0
Thermodesulfobiales,Thermodesulfobiia,Thermodesulfobiota,rrs_MG1655_2ndrun,2,0,0
Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,rrs_MG1655_2ndrun,7,0,0
Thermoflexales,Anaerolineae,Chloroflexota,rrs_MG1655_2ndrun,1,0,0
Thermomicrobiales,Chloroflexia,Chloroflexota,rrs_MG1655_2ndrun,4,0,0
Thermosediminibacterales,Thermosediminibacteria,Bacillota,rrs_MG1655_2ndrun,5,0,0
Thermostichales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Thermosulfidibacterales,Thermosulfidibacteria,Thermosulfidibacterota,rrs_MG1655_2ndrun,1,0,0
Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,6,0,0
Thermotogales,Thermotogae,Thermotogota,rrs_MG1655_2ndrun,22,0,0
Thermotomaculales,Holophagae,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Thiohalobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Thiohalorhabdales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Thiohalospirales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Thiomicrospirales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,20,0,0
