genus,family,order,class,phylum,gene,n,n_res,f_res
Meishania,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Melaminivora,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Melghirimyces,DSM-45169,Thermoactinomycetales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Melioribacter,Melioribacteraceae,Ignavibacteriales,Ignavibacteria,Bacteroidota_A,rrs_MG1655_2ndrun,1,0,0
Melissococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Melittangium,Myxococcaceae,Myxococcales,Myxococcia,Myxococcota,rrs_MG1655_2ndrun,1,0,0
Membranihabitans,Saprospiraceae,Chitinophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Merdibacter,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Merdimmobilis,Ruminococcaceae,Oscillospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Mergibacter,Pasteurellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Meridianimarinicoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Mesoaciditoga,Mesoaciditogaceae,Mesoaciditogales,Thermotogae,Thermotogota,rrs_MG1655_2ndrun,1,0,0
Mesobacillus,DSM-18226,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,8,0,0
Mesobacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Mesobaculum,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mesoflavibacter,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,2,0,0
Mesohalobacter,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mesomycoplasma,Metamycoplasmataceae,Mycoplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,11,0,0
Mesonia,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,7,0,0
Mesoplasma,Mycoplasmataceae,Mycoplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,11,0,0
Mesopusillimonas,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Mesorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,63,0,0
Mesosutterella,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Mesoterricola,Holophagaceae,Holophagales,Holophagae,Acidobacteriota,rrs_MG1655_2ndrun,2,0,0
Mesotoga,Kosmotogaceae,Petrotogales,Thermotogae,Thermotogota,rrs_MG1655_2ndrun,2,0,0
Metabacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,21,0,0
Metallibacterium,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Metallococcus,Dermatophilaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Metallumcola,JADQBR01,JADQBR01,JADQBR01,Bacillota,rrs_MG1655_2ndrun,1,0,0
Metalysinibacillus,Planococcaceae,Bacillales_A,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Metamycoplasma,Metamycoplasmataceae,Mycoplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,18,0,0
